City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-12-11 17:31:18,-46.1927,168.8643,52.38,97,73,0.98
1,San Patricio,US,2022-12-11 17:28:44,28.017,-97.5169,78.87,64,7,5.44
2,Hermanus,ZA,2022-12-11 17:31:19,-34.4187,19.2345,71.8,90,74,17.63
3,Houma,US,2022-12-11 17:31:19,29.5958,-90.7195,73.4,100,100,9.22
4,Avarua,CK,2022-12-11 17:31:20,-21.2078,-159.775,73.45,68,20,5.75
5,Carbonear,CA,2022-12-11 17:31:20,47.7332,-53.2148,33.6,87,99,14.09
6,Zhengjiatun,CN,2022-12-11 17:31:20,43.5064,123.5064,21.54,45,100,16.04
7,Hilo,US,2022-12-11 17:30:50,19.7297,-155.09,69.28,94,20,5.99
8,Busselton,AU,2022-12-11 17:31:21,-33.65,115.3333,54.01,67,0,13.69
9,Broken Hill,AU,2022-12-11 17:31:21,-31.95,141.4333,56.93,52,28,22.01
10,Guerrero Negro,MX,2022-12-11 17:27:17,27.9769,-114.0611,63.72,64,75,14.65
11,Albany,US,2022-12-11 17:31:21,42.6001,-73.9662,32.23,87,100,1.01
12,Kodiak,US,2022-12-11 17:31:22,57.79,-152.4072,33.31,100,100,3.44
13,Davila,PH,2022-12-11 17:31:22,18.4726,120.5763,76.41,83,80,16.89
14,Elliot,ZA,2022-12-11 17:31:22,-31.3333,27.85,60.64,94,100,6.35
15,Hambantota,LK,2022-12-11 17:31:23,6.1241,81.1185,75.65,87,69,11.21
16,Atambua,ID,2022-12-11 17:31:23,-9.1061,124.8925,74.17,81,99,2.19
17,Belmonte,BR,2022-12-11 17:31:23,-15.8631,-38.8828,81.54,74,94,12.97
18,Hasaki,JP,2022-12-11 17:31:24,35.7333,140.8333,46.8,55,100,24.61
19,Jamestown,US,2022-12-11 17:30:34,42.097,-79.2353,37.02,75,100,13.0
20,Marsa Matruh,EG,2022-12-11 17:31:24,31.3525,27.2453,68.18,53,100,6.13
21,Yellowknife,CA,2022-12-11 17:26:58,62.456,-114.3525,-10.68,77,75,4.61
22,Aklavik,CA,2022-12-11 17:26:36,68.2191,-135.0107,-16.6,76,0,9.22
23,Lagoa,PT,2022-12-11 17:31:25,39.05,-27.9833,63.0,83,2,34.16
24,New Norfolk,AU,2022-12-11 17:31:25,-42.7826,147.0587,55.92,89,100,2.33
25,Rikitea,PF,2022-12-11 17:31:25,-23.1203,-134.9692,76.42,77,67,17.9
26,Bluff,NZ,2022-12-11 17:31:26,-46.6,168.3333,51.06,94,57,3.98
27,Kaitangata,NZ,2022-12-11 17:31:26,-46.2817,169.8464,52.72,94,64,2.26
28,Hobart,AU,2022-12-11 17:31:26,-42.8794,147.3294,56.26,97,100,5.75
29,Bairiki,KI,2022-12-11 17:31:27,1.3292,172.9752,78.8,78,20,6.91
30,Esperance,AU,2022-12-11 17:31:27,-33.8667,121.9,55.92,65,7,7.83
31,Darhan,MN,2022-12-11 17:31:27,49.4867,105.9228,2.86,97,100,1.68
32,Mount Gambier,AU,2022-12-11 17:31:28,-37.8333,140.7667,48.85,93,49,7.31
33,Furtwangen,DE,2022-12-11 17:31:28,48.05,8.2,21.76,89,50,0.67
34,Khatanga,RU,2022-12-11 17:31:28,71.9667,102.5,-2.58,95,100,16.62
35,Ushuaia,AR,2022-12-11 17:28:17,-54.8,-68.3,49.66,62,75,12.66
36,Zhuhai,CN,2022-12-11 17:31:29,22.2769,113.5678,60.58,67,40,20.71
37,Cascais,PT,2022-12-11 17:31:29,38.6979,-9.4215,66.94,96,75,20.0
38,Broome,US,2022-12-11 17:31:30,42.2506,-75.833,34.7,89,100,5.75
39,Deputatskiy,RU,2022-12-11 17:31:30,69.3,139.9,-30.37,93,100,7.16
40,Tarko-Sale,RU,2022-12-11 17:31:30,64.9225,77.785,-20.69,99,26,8.84
41,Kavaratti,IN,2022-12-11 17:31:30,10.5669,72.642,81.95,70,100,17.16
42,Povenets,RU,2022-12-11 17:31:31,62.8487,34.8262,4.08,96,54,5.17
43,Half Moon Bay,US,2022-12-11 17:29:18,37.4636,-122.4286,49.32,90,75,11.5
44,Dikson,RU,2022-12-11 17:31:31,73.5069,80.5464,13.44,97,100,11.16
45,Castro,BR,2022-12-11 17:31:32,-24.7911,-50.0119,77.77,72,78,8.5
46,Kristiinankaupunki,FI,2022-12-11 17:32:32,62.2743,21.376,23.52,89,96,10.78
47,Saint-Philippe,RE,2022-12-11 17:32:32,-21.3585,55.7679,76.59,84,47,12.21
48,Russell,US,2022-12-11 17:32:33,32.3502,-85.1999,60.08,82,40,4.61
49,Daru,PG,2022-12-11 17:32:33,-9.0763,143.2092,79.23,86,96,6.93
50,Bredasdorp,ZA,2022-12-11 17:32:33,-34.5322,20.0403,69.19,94,95,15.93
51,Padang,ID,2022-12-11 17:32:34,-0.9492,100.3543,73.45,95,100,1.83
52,Kuytun,RU,2022-12-11 17:32:34,54.3419,101.5036,-3.59,83,100,15.01
53,College,US,2022-12-11 17:32:34,64.8569,-147.8028,6.91,82,75,0.0
54,Arraial Do Cabo,BR,2022-12-11 17:32:34,-22.9661,-42.0278,87.76,66,0,8.05
55,Victoria,HK,2022-12-11 17:29:09,22.2855,114.1577,63.25,78,95,9.64
56,Portland,US,2022-12-11 17:32:35,45.5234,-122.6762,44.29,94,100,1.01
57,Los Llanos De Aridane,ES,2022-12-11 17:32:31,28.6585,-17.9182,73.13,89,20,6.91
58,Qaanaaq,GL,2022-12-11 17:32:35,77.484,-69.3632,-14.46,73,11,8.81
59,Tuktoyaktuk,CA,2022-12-11 17:32:36,69.4541,-133.0374,-16.6,76,0,10.36
60,Manta,EC,2022-12-11 17:32:36,-0.95,-80.7333,82.18,61,40,8.05
61,Korla,CN,2022-12-11 17:32:36,41.7597,86.1469,17.78,57,0,4.03
62,Hualmay,PE,2022-12-11 17:32:37,-11.0964,-77.6139,72.32,73,99,7.78
63,Plouzane,FR,2022-12-11 17:32:37,48.3833,-4.6167,37.58,100,100,6.91
64,Vaini,TO,2022-12-11 17:32:37,-21.2,-175.2,77.16,88,75,14.97
65,Bagdarin,RU,2022-12-11 17:32:37,54.4333,113.6,-2.45,60,100,10.33
66,Ahipara,NZ,2022-12-11 17:32:38,-35.1667,173.1667,60.35,89,84,5.61
67,Port Blair,IN,2022-12-11 17:32:38,11.6667,92.75,78.84,89,40,1.14
68,Muroto,JP,2022-12-11 17:32:38,33.2833,134.15,51.8,60,66,16.51
